Line,Direction,Source,Destintation,Time (mins)
Central,Eastbound,NOTTING HILL GATE,QUEENSWAY,1.17
Central,Eastbound,QUEENSWAY,LANCASTER GATE,1.35
Central,Eastbound,LANCASTER GATE,MARBLE ARCH,1.92
Central,Eastbound,MARBLE ARCH,BOND STREET,1
Central,Eastbound,BOND STREET,OXFORD CIRCUS,1.1
Central,Eastbound,OXFORD CIRCUS,TOTTENHAM COURT ROAD,0.98
Central,Eastbound,TOTTENHAM COURT ROAD,HOLBORN,1.63
Central,Eastbound,HOLBORN,CHANCERY LANE,0.87
Central,Eastbound,CHANCERY LANE,ST PAULS,1.52
Central,Eastbound,ST PAULS,BANK,1.62
Central,Eastbound,BANK,LIVERPOOL STREET,1.62
Jubilee,Eastbound,STANMORE,CANONS PARK,1.95
Jubilee,Eastbound,CANONS PARK,QUEENSBURY,1.93
Jubilee,Eastbound,QUEENSBURY,KINGSBURY,1.72
Jubilee,Eastbound,KINGSBURY,WEMBLEY PARK,3.47
Jubilee,Eastbound,WEMBLEY PARK,NEASDEN,2.6
Jubilee,Eastbound,NEASDEN,DOLLIS HILL,1.43
Jubilee,Eastbound,DOLLIS HILL,WILLESDEN GREEN,1.8
Jubilee,Eastbound,WILLESDEN GREEN,KILBURN,1.68
Jubilee,Eastbound,KILBURN,WEST HAMPSTEAD,1.63
Jubilee,Eastbound,WEST HAMPSTEAD,FINCHLEY ROAD,1.25
Jubilee,Eastbound,FINCHLEY ROAD,SWISS COTTAGE,1.18
Jubilee,Eastbound,SWISS COTTAGE,ST JOHNS WOOD,1.52
Jubilee,Eastbound,ST JOHNS WOOD,BAKER STREET,2.77
Jubilee,Eastbound,BAKER STREET,BOND STREET,2.1
Jubilee,Eastbound,BOND STREET,GREEN PARK,1.78
Jubilee,Eastbound,GREEN PARK,WESTMINSTER,1.87
Jubilee,Eastbound,WESTMINSTER,WATERLOO,1.38
Jubilee,Eastbound,WATERLOO,SOUTHWARK,1.02
Jubilee,Eastbound,SOUTHWARK,LONDON BRIDGE,1.65
Jubilee,Eastbound,LONDON BRIDGE,BERMONDSEY,2.25
Jubilee,Eastbound,BERMONDSEY,CANADA WATER,1.48
Jubilee,Eastbound,CANADA WATER,CANARY WHARF,2.5
Jubilee,Eastbound,CANARY WHARF,NORTH GREENWICH,2.23
Jubilee,Eastbound,NORTH GREENWICH,CANNING TOWN,2.15
Jubilee,Eastbound,CANNING TOWN,WEST HAM,2.15
Jubilee,Eastbound,WEST HAM,STRATFORD,3.15
Piccadilly,Eastbound,GLOUCESTER ROAD,SOUTH KENSINGTON,1.28
Piccadilly,Eastbound,SOUTH KENSINGTON,KNIGHTSBRIDGE,2.48
Piccadilly,Eastbound,KNIGHTSBRIDGE,HYDE PARK CORNER,1.1
Piccadilly,Eastbound,HYDE PARK CORNER,GREEN PARK,1.73
Piccadilly,Eastbound,GREEN PARK,PICCADILLY CIRCUS,1.1
Piccadilly,Eastbound,PICCADILLY CIRCUS,LEICESTER SQUARE,1.17
Piccadilly,Eastbound,LEICESTER SQUARE,COVENT GARDEN,0.77
Piccadilly,Eastbound,COVENT GARDEN,HOLBORN,1.4
Piccadilly,Eastbound,HOLBORN,RUSSELL SQUARE,1.55
Piccadilly,Eastbound,RUSSELL SQUARE,KINGS CROSS,1.9
Circle,Inner,EDGWARE ROAD,PADDINGTON (CIRCLE),1.85
Circle,Inner,PADDINGTON (CIRCLE),BAYSWATER,1.65
Circle,Inner,BAYSWATER,NOTTING HILL GATE,1.47
Circle,Inner,NOTTING HILL GATE,HIGH STREET KENSINGTON,1.58
Circle,Inner,HIGH STREET KENSINGTON,GLOUCESTER ROAD,1.8
Circle,Inner,GLOUCESTER ROAD,SOUTH KENSINGTON,1.43
Circle,Inner,SOUTH KENSINGTON,SLOANE SQUARE,1.98
Circle,Inner,SLOANE SQUARE,VICTORIA,1.8
Circle,Inner,VICTORIA,ST JAMES PARK,1.42
Circle,Inner,ST JAMES PARK,WESTMINSTER,1.5
Circle,Inner,WESTMINSTER,EMBANKMENT,1.37
Circle,Inner,EMBANKMENT,TEMPLE,1.37
Circle,Inner,TEMPLE,BLACKFRIARS,1.4
Circle,Inner,BLACKFRIARS,MANSION HOUSE,1.52
Circle,Inner,MANSION HOUSE,CANNON STREET,0.98
Circle,Inner,CANNON STREET,MONUMENT,0.97
Circle,Inner,MONUMENT,TOWER HILL,1.8
Circle,Inner,TOWER HILL,ALDGATE,1.3
Circle,Inner,ALDGATE,LIVERPOOL STREET,1.75
Circle,Inner,LIVERPOOL STREET,MOORGATE,1.32
Circle,Inner,MOORGATE,BARBICAN,1.38
Circle,Inner,BARBICAN,FARRINGDON,1.2
Circle,Inner,FARRINGDON,KINGS CROSS,3.12
Circle,Inner,KINGS CROSS,EUSTON SQUARE,1.65
Circle,Inner,EUSTON SQUARE,GREAT PORTLAND STREET,1.3
Circle,Inner,GREAT PORTLAND STREET,BAKER STREET,1.57
Circle,Inner,BAKER STREET,EDGWARE ROAD,1.88
Circle,Inner,EDGWARE ROAD,PADDINGTON (H&C),2.08
Circle,Inner,PADDINGTON (H&C),ROYAL OAK,1.33
Circle,Inner,ROYAL OAK,WESTBOURNE PARK,1.72
Circle,Inner,WESTBOURNE PARK,LADBROKE GROVE,1.48
Circle,Inner,LADBROKE GROVE,LATIMER ROAD,1.28
Circle,Inner,LATIMER ROAD,WOOD LANE,1.5
Circle,Inner,WOOD LANE,SHEPHERDS BUSH MARKET,1.5
Circle,Inner,SHEPHERDS BUSH MARKET,GOLDHAWK ROAD,1.15
Circle,Inner,GOLDHAWK ROAD,HAMMERSMITH (H&C),2.43
Bakerloo,Northbound,EMBANKMENT,CHARING CROSS,0.97
Bakerloo,Northbound,CHARING CROSS,PICCADILLY CIRCUS,1.6
Bakerloo,Northbound,PICCADILLY CIRCUS,OXFORD CIRCUS,2.02
Bakerloo,Northbound,OXFORD CIRCUS,REGENTS PARK,1.72
Bakerloo,Northbound,REGENTS PARK,BAKER STREET,1.65
Northern,Northbound,BANK,MOORGATE,1.77
Northern,Northbound,EMBANKMENT,CHARING CROSS,0.87
Northern,Northbound,CHARING CROSS,LEICESTER SQUARE,1.17
Northern,Northbound,LEICESTER SQUARE,TOTTENHAM COURT ROAD,1.03
Northern,Northbound,TOTTENHAM COURT ROAD,GOODGE STREET,1.28
Northern,Northbound,GOODGE STREET,WARREN STREET,1.07
Victoria,Northbound,BRIXTON,STOCKWELL,2.18
Victoria,Northbound,STOCKWELL,VAUXHALL,2.23
Victoria,Northbound,VAUXHALL,PIMLICO,1.37
Victoria,Northbound,PIMLICO,VICTORIA,2.18
